raw,instruction_revised,instruction,output_revised,output
“太好了还有气！”王警官看着尸体手里的可乐高兴道。,王警官发现尸体手中的可乐后说了什么？,王警官发现尸体后说了什么？,“太好了还有气！”,“太好了还有气！”王警官看着尸体手里的可乐高兴道。
总觉得老公眼睛一直在那女人身上，打开那人口袋果然发现了老公的眼睛。,为什么总觉得老公的眼睛一直在那女人身上？,为什么总觉得老公的眼睛一直在那女人身上？,打开那人口袋果然发现了老公的眼睛。,打开那人口袋果然发现了老公的眼睛。
没注意小孩钻洗衣机里直接启动了怎么办，他口袋里还有纸巾。,如果小孩钻进洗衣机并启动了怎么办？,如果小孩钻进洗衣机并启动了怎么办？,怎么了，他口袋里还有纸巾吗,没注意小孩钻洗衣机里直接启动了怎么办，他口袋里还有纸巾。
我长这么大头一次听说可能是三鹿奶粉导致的。,你长这么大头一次听说什么？,你长这么大头一次听说什么？,可能是三鹿奶粉导致的。,可能是三鹿奶粉导致的。
王高飞吃三鹿——来头不小。,王高飞吃三鹿——,王高飞吃三鹿是什么情况？,来头不小。,来头不小。
老王选择一名阿尔茨海默病患者的房屋进行盗窃，进屋后发现是自己。,老王是怎么发现自己有阿尔茨海默病的？,老王是怎么发现自己有阿尔茨海默病的？,老王选择一名阿尔茨海默病患者的房屋进行盗窃，进屋后发现是自己。,老王选择一名阿尔茨海默病患者的房屋进行盗窃，进屋后发现是自己。
人还是会害怕比自己位置高的人，上次我在楼顶把辅导员和校长吓得。,人会害怕比自己位置高的人吗？,人为什么会害怕比自己位置高的人？,确实，上次我在楼顶，把辅导员和校长给吓的。,人还是会害怕比自己位置高的人，上次我在楼顶把辅导员和校长吓得。
男子冲进灵堂大喊：“我不同意这门亲事。”并抢走了尸体。,男子在灵堂里做了什么？,男子在灵堂里做了什么？,男子冲进灵堂大喊：“我不同意这门亲事。”并抢走了尸体。,男子冲进灵堂大喊：“我不同意这门亲事。”并抢走了尸体。
王警官在碎尸杀人狂家里搜出十袋少年团。,王警官在碎尸杀人狂家里发现了什么？,王警官在碎尸杀人狂家里发现了什么？,十袋少年团,王警官在碎尸杀人狂家里搜出十袋少年团。
为什么每次跳水比赛，运动员都会用很慢的速度跳第二遍？,为什么每次跳水比赛，运动员都会用很慢的速度跳第二遍？,为什么每次跳水比赛，运动员都会用很慢的速度跳第二遍？,因为你在看慢动作回放。,因为你在看慢动作回放。
神说：要有空气。但是大家都听不到。,神说：要有空气。,神说了什么？,但这样大家都听不到。,神说：要有空气。但是大家都听不到。
"小明爷爷生病了，难受得一直叫唤，小明问：
爸爸的爸爸叫什么？",小明爷爷生病了，难受得一直叫唤，小明问：,爸爸的爸爸叫什么？,爸爸的爸爸叫什么？,小明爷爷生病了，难受得一直叫唤。
"“你们出差期间导师给发补助了吗？”
工科学生：“啥是补助？”
文科学生：“啥是出差？”
旅游鸣人：“啥是给！”",导师在出差期间会给学生发补助吗？,导师在出差期间会给学生发补助吗？,工科学生：“啥是补助？” 文科学生：“啥是出差？” 旅游鸣人：“啥是给！”,工科学生：“啥是补助？” 文科学生：“啥是出差？” 旅游鸣人：“啥是给！”
"“明天公司团建，你不来可说不过去了！”
“不过去了。”",明天公司团建，你不来可说不过去了！,明天公司团建，你不来可说不过去了！,不过去了。,不过去了。
车上有人是不能开违停罚单的，交警看着后备箱的尸体失望地走开了。,交警看着后备箱的尸体失望地走开了，为什么？,为什么车上有人不能开违停罚单？,因为车上有人是不能开罚单的。,车上有人是不能开违停罚单的，交警看着后备箱的尸体失望地走开了。
两个细菌之间的位置，就是最常见的无菌环境。,什么是最常见的无菌环境？,什么是最常见的无菌环境？,两个细菌之间的位置，就是最常见的无菌环境。,两个细菌之间的位置，就是最常见的无菌环境。
孟德尔经过不断观察，觉得豌豆还是应该种在向日葵后面。,孟德尔在实验过程中有什么发现？,孟德尔在实验过程中有什么发现？,孟德尔经过不断观察，觉得豌豆还是应该种在向日葵后面。,孟德尔经过不断观察，觉得豌豆还是应该种在向日葵后面。
医生开方之后，王老汉从 2 型糖尿病变成了根号2型糖尿病。,医生给患有2型糖尿病的王老汉开药后发生了什么？,医生给王老汉开药后发生了什么？,王老汉从2型糖尿病变成了根号2型糖尿病。,医生开方之后，王老汉从2型糖尿病变成了根号2型糖尿病。
王警官得知蛋糕有毒后惊叹凶手的作案设计是用了点心的。,王警官得知蛋糕有毒后作何反应？,王警官得知蛋糕有毒后作何反应？,王警官惊叹凶手的作案设计是用了点心的。,王警官惊叹凶手的作案设计是用了点心的。
